name,division,class_name,order_name,family,sub_family,tribe,genus,authority
aitonis,Div1,Cls1,Aizoaceaeord,Aizoaceae,,,Mesembryanthemum,a252
nodiflorum,Div1,Cls1,Aizoaceaeord,Aizoaceae,,,Mesembryanthemum,a7853
crystallinum,Div1,Cls1,Aizoaceaeord,Aizoaceae,,,Mesembryantheum,a2939
portulacastrum,Div1,Cls1,Aizoaceaeord,Aizoaceae,,,Sesuvium,a9175
decumbens,Div1,Cls1,Aizoaceaeord,Aizoaceae,,,Tetragonia,a3225
implexicoma,Div1,Cls1,Aizoaceaeord,Aizoaceae,,,Tetragonia,a5594
tetragonioides,Div1,Cls1,Aizoaceaeord,Aizoaceae,,,Tetragonia,a11664
pilosa,Div1,Cls1,Aizoaceaeord,Aizoaceae,,,Trianthema,a8909
triquetra,Div1,Cls1,Aizoaceaeord,Aizoaceae,,,Trianthema,a11963
galericulata,Div1,Cls1,Aizoaceaeord,Aizoaceae,,,Zaleya,a4633
tenue,Div1,Cls1,Aizoceaeord,Aizoceae,,,Psilocaulon,a11540
bidwillii,Div1,Cls1,Akaniaceaeord,Akaniaceae,,,Akania,a1413
plantago-aquatica,Div1,Cls1,Alismataceaeord,Alismataceae,,,Alisma,a8992
subcordatum,Div1,Cls1,Alismataceaeord,Alismataceae,,,Alisma,a11301
oligococca,Div1,Cls1,Alismataceaeord,Alismataceae,,,Caldesia,a8178
minus,Div1,Cls1,Alismataceaeord,Alismataceae,,,Damasonium,a7282
graminea,Div1,Cls1,Alismataceaeord,Alismataceae,,,Sagittaria,a4974
sagittifolia,Div1,Cls1,Alismataceaeord,Alismataceae,,,Sagittaria,a10268
macrophylla,Div1,Cls1,Alseuosmiaceaeord,Alseuosmiaceae,,,Alseuosmia,a6842
vacciniacea,Div1,Cls1,Alseuosmiaceaeord,Alseuosmiaceae,,,Wittsteinia,a12161
psittacina,Div1,Cls1,Alstroemeriaceaeord,Alstroemeriaceae,,,Alstroemeria,a9362
cyanocarpa,Div1,Cls1,Alstromeriaceaeord,Alstromeriaceae,,,Drymophila,a3072
moorei,Div1,Cls1,Alstromeriaceaeord,Alstromeriaceae,,,Drymophila,a7462
formosana,Div1,Cls1,Altingiaceaeord,Altingiaceae,,,Liquidambar,a4480
styraciflua,Div1,Cls1,Altingiaceaeord,Altingiaceae,,,Liquidambar,a11267
muscaria,Div1,Cls1,Amanitaceaeord,Amanitaceae,,,Amanita,a7621
ochrophylla,Div1,Cls1,Amanitaceaeord,Amanitaceae,,,Amanita,a8092
aspera,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Achyranthes,a891
javanica,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Aerva,a5859
bettzickiana,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Alternanthera,a1391
denticulata,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Alternanthera,a3315
nana,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Alternanthera,a7668
nodiflora,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Alternanthera,a7850
philoxeroides,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Alternanthera,a8859
pungens,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Alternanthera,a9501
sessilis,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Alternanthera,a10669
blitum,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Amaranthus,a1533
graecizans,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Amaranthus,a4971
grandiflorus,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Amaranthus,a5024
hybridus,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Amaranthus,a5514
interruptus,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Amaranthus,a5750
lividis,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Amaranthus,a6585
macrocarpus,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Amaranthus,a6834
mitchellii,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Amaranthus,a7320
muricatus,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Amaranthus,a7607
powellii,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Amaranthus,a9180
quitensis,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Amaranthus,a9670
retroflexus,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Amaranthus,a9911
spinosus,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Amaranthus,a11011
viridis,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Amaranthus,a12459
angulata,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a531
australasica,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a1018
bunburyana,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a1772
cinerea,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a2381
conduplicata,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a2612
eardleyae,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a3698
elachophylla,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a3743
fissivalvis,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a4307
halimus,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a5159
hastata,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a5197
holocarpa,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a5403
inflata,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a5689
intermedia,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a5736
isatidea,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a5795
leptocarpa,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a6347
limbata,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a6462
lindleyi,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a6478
littoralis,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a6571
lobativalvis,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a6594
muelleri,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a7509
nessorhina,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a7762
nummularia,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a7941
paludosa,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a8393
prostrata,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a9308
pseudocampanulata,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a9350
pumilio,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a9476
semibaccata,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a10545
spinibractea,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a10998
spongiosa,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a11029
stipitata,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a11140
sturtii,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a11256
suberecta,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a11308
turbinata,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a12026
velutinella,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a12237
vesicaria,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Atriplex,a12320
vulgaris,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Beta,a12539
argentea,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Celosia,a753
album,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Chenopodium,a321
auricomum,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Chenopodium,a1005
botrys,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Chenopodium,a1571
candolleana,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Chenopodium,a1994
curvispicatum,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Chenopodium,a3055
desertorum,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Chenopodium,a3350
glaucum,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Chenopodium,a4843
murale,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Chenopodium,a7594
nitrariaceum,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Chenopodium,a7828
opulifolium,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Chenopodium,a8218
pumilio,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Chenopodium,a9477
quinoa,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Chenopodium,a9661
amaranthoides,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Deeringia,a421
arborescens,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Deeringia,a703
biflorus,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Dissocarpus,a1442
fontinalis,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Dissocarpus,a4465
paradoxus,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Dissocarpus,a8503
ambrosioides,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Dysphania,a438
carinata,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Dysphania,a2099
cristata,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Dysphania,a2909
glomulifera,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Dysphania,a4881
kalpari,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Dysphania,a5932
littoralis,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Dysphania,a6572
melanocarpa,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Dysphania,a7096
platycarpa,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Dysphania,a8996
pumilio,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Dysphania,a9478
rhadinostachya,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Dysphania,a9937
truncata,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Dysphania,a11989
hastata,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Einadia,a5198
nutans,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Einadia,a7946
polygonoides,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Einadia,a9098
trigonos,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Einadia,a11926
tomentosa,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Enchylaena,a11768
canescens,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Gomphrena,a1999
celosioides,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Gomphrena,a2194
diffusa,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Gomphrena,a3418
lanata,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Gomphrena,a6072
rosula,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Gomphrena,a10099
densa,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Guilleminea,a3269
herbstii,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Iresine,a5256
aphylla,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a644
appressa,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a663
astrotricha,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a930
atkinsiana,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a935
brevifolia,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a1657
campanulata,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a1922
carnosa,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a2114
ciliata,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a2352
coronata,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a2771
decalvans,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a3193
dichoptera,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a3376
enchylaenoides,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a3856
eriantha,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a3914
erioclada,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a3962
georgei,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a4682
humillima,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a5494
integra,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a5728
lobiflora,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a6597
microphylla,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a7206
oppositifolia,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a8212
pentagona,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a8747
pentatropis,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a8756
pyramidata,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a9597
schistocarpa,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a10445
sclerolaenoides,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a10474
scleroptera,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a10477
sedifolia,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a10527
spongiocarpa,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a11028
tomentosa,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a11769
trichoptera,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a11879
triptera,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a11959
turbinata,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a12027
villosa,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Maireana,a12353
tricornis,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Malacocera,a11891
astrocarpa,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Neobassia,a928
proceriflora,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Neobassia,a9246
diffusa,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Nyssanthes,a3419
erecta,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Nyssanthes,a3890
acropterum,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Osteocarpum,a77
dipterocarpum,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Osteocarpum,a3492
salsuginosum,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Osteocarpum,a10305
triandra,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Pachycornia,a11857
arthrolasius,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a832
atriplicifolius,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a946
auriculifolius,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a1014
calostachys,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a1880
calostachyus,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a1881
corymbosa,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a2788
corymbosus,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a2801
decipiens,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a3199
drummondii,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a3633
erubescens,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a3972
exaltatus,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a4058
gaudichaudii,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a4650
helipteroides,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a5231
indivisus,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a5679
latifolius,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a6224
leucocoma,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a6415
macrocephalus,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a6839
manglesii,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a6942
murrayi,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a7616
nobilis,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a7841
obovatus,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a8018
parvifolius,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a8586
pedleyanus,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a8682
polystachyus,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a9129
rotundifolius,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a10126
schwartzii,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a10460
semilanatus,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a10557
sessilifolius,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a10666
spathulatus,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Ptilotus,a10898
baccata,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Rhagodia,a1214
candolleana,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Rhagodia,a1995
parabolica,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Rhagodia,a8493
spinescens,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Rhagodia,a10989
ulicina,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Rhagodia,a12043
kali,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Salsola,a5931
vermiculata,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Salsola,a12270
quinqueflora,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Sarcocornia,a9664
atriplicinum,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Scleroblitum,a947
anisacanthoides,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Sclerolaena,a584
bicornis,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Sclerolaena,a1407
birchii,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Sclerolaena,a1494
brachyptera,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Sclerolaena,a1607
calcarata,Div1,Cls1,Amaranthaceaeord,Amaranthaceae,,,Sclerolaena,a1846
